"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-03-09",,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-03-10",,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-03-11",,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-03-12",,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-03-13",,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-03-14",,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-03-15",,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-03-16",,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-03-17",,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-03-18",,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-03-19",,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-03-20",,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-03-21",,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-03-22",,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-03-23",,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-03-24",,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-03-25",,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-03-26",,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-03-27",,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-03-28",,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-03-29",,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-03-30",,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-03-31",,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-04-01",,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-04-02",,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-04-03",,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-04-04",,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-04-05",,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-04-06",,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-04-07",,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-04-08",,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2020-04-09",,,,,,,,,,,,,
