"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00093197","SANTA MONICA MUNICIPAL AIRPORT, CA US","2016-01-01","4.70",,"0.00","0.0","0.0",,"66","45","   20","   10","12.1","14.1",,,,
"USW00093197","SANTA MONICA MUNICIPAL AIRPORT, CA US","2016-01-02","4.47",,"0.00","0.0","0.0",,"65","49","  210","   10","8.9","13.0",,,,
"USW00093197","SANTA MONICA MUNICIPAL AIRPORT, CA US","2016-01-03","4.03",,"0.00",,"0.0",,"64","45","  130","  110","14.1","18.1",,,,
"USW00093197","SANTA MONICA MUNICIPAL AIRPORT, CA US","2016-01-04","4.70",,"0.00","0.0","0.0",,"69","55","  250","  240","13.0","19.0",,,,
"USW00093197","SANTA MONICA MUNICIPAL AIRPORT, CA US","2016-01-05","4.47",,"1.49",,"0.0",,"60","49","  210","  210","17.0","23.0","    1",,,
"USW00093197","SANTA MONICA MUNICIPAL AIRPORT, CA US","2016-01-06","4.92",,"0.34",,"0.0",,"59","46","  190","  180","31.1","38.0","    1",,,
"USW00093197","SANTA MONICA MUNICIPAL AIRPORT, CA US","2016-01-07","4.03",,"0.18",,"0.0",,"59","46","  250","  260","13.0","19.0","    1",,,
"USW00093197","SANTA MONICA MUNICIPAL AIRPORT, CA US","2016-01-08","4.70",,"0.00","0.0","0.0",,"60","45","  240","  240","15.0","19.0",,,,
"USW00093197","SANTA MONICA MUNICIPAL AIRPORT, CA US","2016-01-09","2.68",,"0.00",,"0.0",,"60","45","  190","  200","8.9","12.1","    1",,,
"USW00093197","SANTA MONICA MUNICIPAL AIRPORT, CA US","2016-01-10","2.46",,"0.00","0.0","0.0",,"60","51","  250","  260","8.9","12.1","    1",,,
"USW00093197","SANTA MONICA MUNICIPAL AIRPORT, CA US","2016-01-11","4.25",,"0.00","0.0","0.0",,"63","47","  240","  240","13.0","16.1",,,,
"USW00093197","SANTA MONICA MUNICIPAL AIRPORT, CA US","2016-01-12","5.14",,"0.00","0.0","0.0",,"67","45","  240","  250","15.0","23.9",,,,
"USW00093197","SANTA MONICA MUNICIPAL AIRPORT, CA US","2016-01-13","3.58",,"0.00","0.0","0.0",,"62","44","  210","  200","12.1","15.0","    1",,,
"USW00093197","SANTA MONICA MUNICIPAL AIRPORT, CA US","2016-01-14","3.13",,"0.00","0.0","0.0",,"62","49","  240","  270","12.1","17.0","    1",,,"    1"
